stock_code,trade_date,open_price,high_price,low_price,close_price,pre_close,change,pct_chg,trading_volume,trading_amount,price_limit_up,price_limit_down,pe_ttm,pb,total_market_value,market,stock_name
600519.SH,20240131,1613.0,1619.97,1598.13,1604.91,1613.0,-8.09,-0.5015,29649.12,4770104.891,1765.4,1444.42,28.3186,10.4025,201608441.1198,SH,贵州茅台
600519.SH,20240130,1649.98,1649.98,1610.0,1613.0,1650.0,-37.0,-2.2424,30866.33,5010784.454,1774.3,1451.7,28.4614,10.4549,202624705.14,SH,贵州茅台
600519.SH,20240129,1640.3,1660.58,1640.29,1650.0,1637.32,12.68,0.7744,31420.68,5189014.946,1815.0,1485.0,29.1143,10.6948,207272637.0,SH,贵州茅台
600519.SH,20240126,1630.36,1644.1,1623.0,1637.32,1638.0,-0.68,-0.0415,26954.75,4402111.882,1801.05,1473.59,28.8905,10.6126,205679778.1896,SH,贵州茅台
600519.SH,20240125,1626.82,1641.0,1622.0,1638.0,1626.0,12.0,0.738,31205.8,5094508.165,1801.8,1474.2,28.9025,10.617,205765199.64,SH,贵州茅台
600519.SH,20240124,1629.0,1633.84,1603.56,1626.0,1619.0,7.0,0.4324,33216.35,5373603.703,1788.6,1463.4,28.6908,10.5392,204257762.28,SH,贵州茅台
600519.SH,20240123,1632.01,1639.95,1609.0,1619.0,1642.0,-23.0,-1.4007,34834.9,5659457.115,1780.9,1457.1,28.5673,10.4938,203378423.82,SH,贵州茅台
600519.SH,20240122,1629.0,1643.0,1618.88,1642.0,1635.0,7.0,0.4281,46945.89,7678297.836,1806.2,1477.8,28.9731,10.6429,206267678.76,SH,贵州茅台
600519.SH,20240119,1608.87,1638.01,1600.88,1635.0,1610.87,24.13,1.4979,46378.43,7550144.389,1798.5,1471.5,28.8496,10.5975,205388340.3,SH,贵州茅台
600519.SH,20240118,1574.0,1612.8,1555.55,1610.87,1577.0,33.87,2.1477,60439.81,9566349.514,1771.96,1449.78,28.4238,10.4411,202357135.0086,SH,贵州茅台
600519.SH,20240117,1630.0,1635.48,1577.0,1577.0,1639.43,-62.43,-3.808,51632.76,8251735.591,1734.7,1419.3,27.8262,10.2216,198102393.06,SH,贵州茅台
600519.SH,20240116,1638.5,1647.0,1624.94,1639.43,1640.0,-0.57,-0.0348,25903.14,4236042.96,1803.37,1475.49,28.9277,10.6262,205944835.9254,SH,贵州茅台
600519.SH,20240115,1635.0,1654.97,1634.45,1640.0,1643.06,-3.06,-0.1862,17854.03,2931202.343,1804.0,1476.0,28.9378,10.6299,206016439.2,SH,贵州茅台
600519.SH,20240112,1639.97,1651.26,1639.4,1643.06,1646.57,-3.51,-0.2132,11603.24,1908084.612,1807.37,1478.75,28.9918,10.6498,206400835.7268,SH,贵州茅台
600519.SH,20240111,1640.1,1657.94,1638.06,1646.57,1641.5,5.07,0.3089,16440.55,2708764.5,1811.23,1481.91,29.0537,10.6725,206841761.1546,SH,贵州茅台
600519.SH,20240110,1641.1,1659.46,1638.0,1641.5,1641.0,0.5,0.0305,17350.67,2856120.718,1805.65,1477.35,28.9643,10.6397,206204868.87,SH,贵州茅台
600519.SH,20240109,1641.01,1652.32,1635.07,1641.0,1643.99,-2.99,-0.1819,24412.04,4009826.496,1805.1,1476.9,28.9554,10.6364,206142058.98,SH,贵州茅台
600519.SH,20240108,1661.0,1662.0,1640.01,1643.99,1663.36,-19.37,-1.1645,25586.2,4211918.629,1808.39,1479.59,29.0082,10.6558,206517662.1222,SH,贵州茅台
600519.SH,20240105,1661.33,1678.66,1652.11,1663.36,1669.0,-5.64,-0.3379,20242.86,3373155.627,1829.7,1497.02,29.35,10.7814,208950917.2608,SH,贵州茅台
600519.SH,20240104,1693.0,1693.0,1662.93,1669.0,1694.0,-25.0,-1.4758,21551.07,3603970.147,1835.9,1502.1,29.4495,10.8179,209659412.82,SH,贵州茅台
600519.SH,20240103,1681.11,1695.22,1676.33,1694.0,1685.01,8.99,0.5335,20229.29,3411400.667,1863.4,1524.6,29.8906,10.98,212799907.32,SH,贵州茅台
600519.SH,20240102,1715.0,1718.19,1678.1,1685.01,1726.0,-40.99,-2.3749,32156.44,5440082.548,1853.51,1516.51,29.732,10.9217,211670585.4978,SH,贵州茅台
